org_uuid,org_name,legal_name,homepage_url,org_country,org_city,status,being_funded,founded_on,closed_on,went_public_on,acquired_on_first,sector,founder_names,ch_company_number,ch_company_name,ch_match_score,ch_match_source,ch_company_status,ch_date_of_creation,ch_date_of_cessation,ch_city,ch_match_reason,ch_search_url,ch_search_query,ch_link_filing_history,ch_link_officers,ch_officer_match,ch_officer_match_score,ch_officer_best_officer_name,ch_officer_best_founder_name
2e0914df-d565-6056-c42f-9c01ce48472d,Dopplr,,http://dopplr.com,GBR,London,acquired,1,2007-01-01,,,2009-09-23,Other,Dan Gillmor | Lisa Sounio | Matt Jones,06533915,DOPPLR LIMITED,98.0,org_exact,dissolved,2008-03-13,2010-05-18,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Dopplr,Dopplr,/company/06533915/filing-history,/company/06533915/officers,1,60.0,"SOUNIO, Lisa Christa Maria",Lisa Sounio
b1263e03-9a9b-61df-50d7-e5cba0995662,Newspepper,,http://www.newspepper.com,GBR,London,operating,1,2008-01-01,,,,Media & Entertainment,Hermione Way,06311443,NEWSPEPPER LTD,98.0,org_exact,dissolved,2007-07-13,2015-02-24,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Newspepper,Newspepper,/company/06311443/filing-history,/company/06311443/officers,1,60.0,"WAY, Hermione Lazulie Elizabeth",Hermione Way
9e40155a-5f02-c504-474b-c9f061e66dde,UGAME,,http://UGAME.net,GBR,Southampton,closed,1,2007-04-20,,,,Media & Entertainment,Sam Mathews,06244389,UGAME LIMITED,98.0,org_exact,active,2007-05-11,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=UGAME,UGAME,/company/06244389/filing-history,/company/06244389/officers,1,10.0,"MATHEWS, Anne",Sam Mathews
64263a6e-1150-f34f-dafc-ff510da181c8,PeoplePerHour,People Per Hour Ltd,https://www.peopleperhour.com,GBR,London,operating,1,2007-09-14,,,,Professional & Business Services,Simos Kitiris | Xenios Thrasyvoulou,06369697,PEOPLE PER HOUR LTD,100.0,legal_exact,active,2007-09-12,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=People+Per+Hour+Ltd,People Per Hour Ltd,/company/06369697/filing-history,/company/06369697/officers,1,60.0,"KITIRIS, Simos",Simos Kitiris
677c02ac-ab58-b2e1-c3a0-4bb3aaab5d5b,Playfish,Playfish Limited,http://www.playfish.com,GBR,London,closed,1,2007-10-01,2023-06-23,,2009-11-09,Software & SaaS,Kristian Segerstrale | Sebastien de Halleux | Shukri Shammas,06374301,PLAYFISH LIMITED,100.0,legal_exact,dissolved,2007-09-18,2023-06-23,Bristol,matched,https://find-and-update.company-information.service.gov.uk/search?q=Playfish+Limited,Playfish Limited,/company/06374301/filing-history,/company/06374301/officers,1,60.0,"SEGERSTRALE, Kristian",Kristian Segerstrale
b78a7f6e-16ee-9c23-ef86-c9f85054c7e8,GroupSpaces,,http://groupspaces.com,GBR,London,closed,1,2007-10-10,2024-05-03,,,Software & SaaS,AJ Asver | Andy Young | David Langer,06427791,GROUPSPACES LTD,98.0,org_exact,dissolved,2007-11-15,2024-05-23,Ringwood,matched,https://find-and-update.company-information.service.gov.uk/search?q=GroupSpaces,GroupSpaces,/company/06427791/filing-history,/company/06427791/officers,1,60.0,"LANGER, David Edward",David Langer
a7cbce66-f9c6-10f8-ddb6-1941ea738b16,Coull,COULL LIMITED,http://coull.com,GBR,Bristol,operating,1,2008-10-01,,,,Media & Entertainment,Aden Forshaw | Irfon Watkins,06679670,COULL LIMITED,100.0,legal_exact,dissolved,2008-08-22,2025-04-01,Bristol,matched,https://find-and-update.company-information.service.gov.uk/search?q=COULL+LIMITED,COULL LIMITED,/company/06679670/filing-history,/company/06679670/officers,1,60.0,"FORSHAW, Aden",Aden Forshaw
837ee513-0d83-7a6e-4d5e-c11622f60514,Diary.com,,http://diary.com,GBR,London,closed,1,2008-01-30,2022-05-31,,,Software & SaaS,Peter Brooke,06205889,DIARY.COM LIMITED,98.0,org_exact,dissolved,2007-04-10,2022-05-31,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Diary.com,Diary.com,/company/06205889/filing-history,/company/06205889/officers,1,60.0,"BROOKE, Peter Raymond",Peter Brooke
3cfa161b-4631-806a-aaf5-8e5523aaf4b4,MUBI,MUBI Inc.,http://mubi.com,GBR,London,operating,1,2007-02-14,,,,Media & Entertainment,Efe Cakarel,07385593,MUBI UK LIMITED,100.0,org_fuzzy,active,2010-09-23,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=MUBI+Inc.,MUBI Inc.,/company/07385593/filing-history,/company/07385593/officers,1,60.0,"CAKAREL, Efe",Efe Cakarel
a4613c71-32b8-d8cc-c309-26e0399bcac3,Smarkets,Smarkets Limited,http://smarkets.com,GBR,London,operating,1,2008-01-01,,,,Financial Services & Fintech,Hunter Morris | Jason Trost,06475845,SMARKETS LIMITED,100.0,legal_exact,active,2008-01-17,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Smarkets+Limited,Smarkets Limited,/company/06475845/filing-history,/company/06475845/officers,1,60.0,"MORRIS, Hunter John",Hunter Morris
51f5570e-9316-9aee-1563-bf2ef3498a1c,TweetDeck,TweetDeck Inc.,https://tweetdeck.twitter.com,GBR,London,acquired,1,2008-01-01,,,2011-02-11,Software & SaaS,Iain Dodsworth,06492580,TWEETDECK LIMITED,98.0,org_exact,dissolved,2008-02-04,2013-05-07,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=TweetDeck+Inc.,TweetDeck Inc.,/company/06492580/filing-history,/company/06492580/officers,1,60.0,"DODSWORTH, Iain",Iain Dodsworth
2cc86778-2cdb-deb8-f36b-7dd0f9ccc9bc,GlocalReach,,http://www.glocalreach.com,GBR,London,closed,1,2007-01-01,2014-06-24,,,IT & Data Infrastructure,Erik Starck | Nicolai Wadstrom,06057904,GLOCALREACH LIMITED,98.0,org_exact,dissolved,2007-01-18,2014-06-24,,matched,https://find-and-update.company-information.service.gov.uk/search?q=GlocalReach,GlocalReach,/company/06057904/filing-history,/company/06057904/officers,1,60.0,"STARCK, Erik",Erik Starck
dee39761-8efd-743a-32a9-1c2b90f88653,Screach,Screenreach Interactive Ltd,http://www.screach.com,GBR,Newcastle Upon Tyne,operating,1,2010-07-01,,,,Software & SaaS,Paul Rawlings,07007633,SCREENREACH INTERACTIVE LIMITED,100.0,legal_exact,liquidation,2009-09-03,,Canary Wharf,matched,https://find-and-update.company-information.service.gov.uk/search?q=Screenreach+Interactive+Ltd,Screenreach Interactive Ltd,/company/07007633/filing-history,/company/07007633/officers,1,60.0,"RAWLINGS, Paul Robert",Paul Rawlings
eb7a0df2-d7c8-1c2a-ba7d-741c96dc4cf0,Kappa Prime,,http://www.kappaprime.com,GBR,London,closed,1,2008-02-01,2010-08-03,,,Media & Entertainment,Evgeny Shadchnev,06636134,KAPPA PRIME LIMITED,98.0,org_exact,dissolved,2008-07-02,2010-08-03,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Kappa+Prime,Kappa Prime,/company/06636134/filing-history,/company/06636134/officers,1,60.0,"SHADCHNEV, Evgeny",Evgeny Shadchnev
38b3ed37-83fa-56fb-aa92-2df10fbcd355,Mixcloud,Mixcloud Ltd,https://www.mixcloud.com,GBR,London,operating,1,2008-09-01,,,,Media & Entertainment,Mat Clayton | Nico Perez | Nikhil Shah,06710137,MIXCLOUD LTD,100.0,legal_exact,active,2008-09-29,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Mixcloud+Ltd,Mixcloud Ltd,/company/06710137/filing-history,/company/06710137/officers,1,60.0,"SHAH, Nikhil Anil",Nikhil Shah
a3eeedb7-5ad2-e84c-840d-0ae6f7aab409,BeLocal,,http://belocal.com,GBR,Hessett,closed,1,2008-01-01,2011-12-27,,,Software & SaaS,Simon Grice,06652872,BELOCAL LIMITED,98.0,org_exact,dissolved,2008-07-22,2011-12-27,Hessett,matched,https://find-and-update.company-information.service.gov.uk/search?q=BeLocal,BeLocal,/company/06652872/filing-history,/company/06652872/officers,1,60.0,"GRICE, Simon Tavis",Simon Grice
af8195c4-8e0b-6ab8-dd62-32c10cce94a1,Globrix,,http://www.globrix.com,GBR,London,closed,1,2007-01-01,2014-02-18,,2012-12-21,Software & SaaS,Daniel Lee,05740226,GLOBRIX LIMITED,98.0,org_exact,dissolved,2006-03-13,2014-02-18,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Globrix,Globrix,/company/05740226/filing-history,/company/05740226/officers,1,60.0,"LEE, Daniel James, Dr",Daniel Lee
f3c3c4f7-6add-e751-6719-bb5b2427f2a0,Zoopla,Zoopla Limited.,http://www.zoopla.co.uk,GBR,London,operating,1,2007-01-01,,,,Real Estate & Construction,Simon Kain,06074771,ZOOPLA LIMITED,100.0,legal_exact,active,2007-01-30,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Zoopla+Limited.,Zoopla Limited.,/company/06074771/filing-history,/company/06074771/officers,1,60.0,"KAIN, Simon",Simon Kain
99b87159-6c3b-5af4-e658-bfb8a0c3239a,Twine,Clowdy Limited,https://www.twine.net,GBR,Manchester,operating,1,2013-01-01,,,,Media & Entertainment,Damien Shiells | Stuart Logan,08195808,CLOWDY LIMITED,100.0,legal_exact,active,2012-08-30,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Clowdy+Limited,Clowdy Limited,/company/08195808/filing-history,/company/08195808/officers,1,60.0,"LOGAN, Stuart Andrew",Stuart Logan
5ac032eb-8003-0316-1437-af3326ab1850,Movirtu,,http://www.movirtu.com,GBR,London,closed,1,2008-01-01,2021-03-16,,2014-09-11,Software & SaaS,Nigel Waller,06521961,MOVIRTU LIMITED,98.0,org_exact,dissolved,2008-03-04,2021-03-16,Maidenhead,matched,https://find-and-update.company-information.service.gov.uk/search?q=Movirtu,Movirtu,/company/06521961/filing-history,/company/06521961/officers,1,60.0,"WALLER, Nigel",Nigel Waller
fb190819-0c0b-c9cf-9741-3e4734065213,JRNI,JRNI Ltd.,https://www.jrni.com/,GBR,London,acquired,1,2008-11-01,,,2022-01-13,Software & SaaS,Glenn Shoosmith | Greg Bock,06770610,JRNI LIMITED,100.0,legal_exact,active,2008-12-10,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=JRNI+Ltd.,JRNI Ltd.,/company/06770610/filing-history,/company/06770610/officers,1,60.0,"SHOOSMITH, Glenn",Glenn Shoosmith
044332af-46c5-a9e0-f916-341d40f7543e,busuu,Busuu Ltd,http://www.busuu.com,GBR,London,acquired,1,2008-01-01,,,2021-11-29,Software & SaaS,Adrian Hilti | Bernhard Niesner,08172044,BUSUU LIMITED,100.0,legal_exact,active,2012-08-08,,London,matched,https://find-and-update.company-information.service.gov.uk/search?q=Busuu+Ltd,Busuu Ltd,/company/08172044/filing-history,/company/08172044/officers,1,60.0,"NIESNER, Bernhard",Bernhard Niesner
70388b86-0c46-2384-0cd2-665070179456,Blue Duck Education,Blue Duck Education Ltd.,http://www.mangahigh.com,GBR,London,operating,1,2008-09-01,,,,Media & Entertainment,Mohit Midha | Toby Rowland,06626639,BLUE DUCK EDUCATION LTD,100.0,legal_exact,active,2008-06-23,,Hertford,matched,https://find-and-update.company-information.service.gov.uk/search?q=Blue+Duck+Education+Ltd.,Blue Duck Education Ltd.,/company/06626639/filing-history,/company/06626639/officers,1,60.0,"MIDHA, Mohit",Mohit Midha
9df7653b-f28b-b6b2-9170-cce2fba6940f,GymFu,,http://www.GymFu.com,GBR,Ringwood,operating,1,2009-01-01,,,,Software & SaaS,Benjie Gillam | Jof Arnold,07022440,GYMFU LTD,98.0,org_exact,dissolved,2009-09-17,2013-04-02,Ringwood,matched,https://find-and-update.company-information.service.gov.uk/search?q=GymFu,GymFu,/company/07022440/filing-history,/company/07022440/officers,1,10.0,"ARNOLD, Jonathan Dean",Jof Arnold
